time,lat,lon,screenTemperature,windSpeed10m,humidity,cloud_cover,significantWeatherCode,uvIndex
2021-05-06T14:00Z,52.1051,-3.668,10.451000000000022,4.47,0.62,0.91,8,
2021-05-06T15:00Z,52.1051,-3.668,10.490999999999984,4.02,0.61,0.91,8,
2021-05-06T16:00Z,52.1051,-3.668,10.480999999999996,4.47,0.64,0.83,7,
2021-05-06T17:00Z,52.1051,-3.668,9.930999999999983,2.68,0.58,0.7,3,
2021-05-06T18:00Z,52.1051,-3.668,9.081000000000016,2.24,0.64,0.62,3,
2021-05-06T19:00Z,52.1051,-3.668,8.230999999999995,1.79,0.68,0.06,1,
2021-05-06T20:00Z,52.1051,-3.668,6.021000000000015,0.45,0.78,0.04,0,
2021-05-06T21:00Z,52.1051,-3.668,4.050999999999988,2.45,0.86,0.04,0,
2021-05-06T22:00Z,52.1051,-3.668,2.451000000000022,2.46,0.92,0.05,0,
2021-05-06T23:00Z,52.1051,-3.668,1.5610000000000357,2.4,0.94,0.06,0,
2021-05-07T00:00Z,52.1051,-3.668,1.5610000000000357,0.45,0.96,0.06,0,
2021-05-07T01:00Z,52.1051,-3.668,1.3009999999999875,0.45,0.96,0.07,0,
2021-05-07T02:00Z,52.1051,-3.668,0.4809999999999945,0.45,0.96,0.07,0,
2021-05-07T03:00Z,52.1051,-3.668,0.7810000000000059,1.34,0.97,0.07,0,
2021-05-07T04:00Z,52.1051,-3.668,-0.0889999999999986,1.2,0.96,0.07,0,
2021-05-07T05:00Z,52.1051,-3.668,1.531000000000006,2.06,0.93,0.07,1,
2021-05-07T06:00Z,52.1051,-3.668,3.1310000000000286,1.03,0.86,0.07,1,
2021-05-07T07:00Z,52.1051,-3.668,3.771000000000015,2.06,0.93,0.06,1,
2021-05-07T08:00Z,52.1051,-3.668,8.061000000000035,0.45,0.86,0.06,1,
2021-05-07T09:00Z,52.1051,-3.668,9.990999999999984,1.34,0.64,0.06,1,
2021-05-07T10:00Z,52.1051,-3.668,11.64100000000002,2.24,0.49,0.06,1,
2021-05-07T11:00Z,52.1051,-3.668,10.550999999999988,2.57,0.62,0.11,1,
2021-05-07T12:00Z,52.1051,-3.668,10.701000000000022,4.12,0.66,0.18,1,
2021-05-07T13:00Z,52.1051,-3.668,11.271000000000017,6.69,0.62,0.43,3,
2021-05-07T14:00Z,52.1051,-3.668,11.661,2.68,0.5,0.56,3,
2021-05-07T15:00Z,52.1051,-3.668,12.441000000000033,1.79,0.5,0.71,7,
2021-05-07T16:00Z,52.1051,-3.668,11.14100000000002,5.14,0.58,0.78,7,
2021-05-07T17:00Z,52.1051,-3.668,11.430999999999983,2.57,0.62,0.82,7,
2021-05-07T18:00Z,52.1051,-3.668,11.101,0.89,0.54,0.83,7,
2021-05-07T19:00Z,52.1051,-3.668,10.490999999999984,0.89,0.54,1.0,8,
2021-05-07T20:00Z,52.1051,-3.668,10.911,3.09,0.5,0.75,7,
2021-05-07T21:00Z,52.1051,-3.668,10.230999999999996,3.6,0.57,0.75,7,
2021-05-07T22:00Z,52.1051,-3.668,9.990999999999984,4.12,0.62,0.9,7,
2021-05-07T23:00Z,52.1051,-3.668,9.581000000000016,4.63,0.5,0.9,7,
2021-05-08T00:00Z,52.1051,-3.668,8.490999999999985,6.69,0.61,0.75,7,
