effective_date,hour_id,quantity,price
2021-01-02,0,,
2021-01-03,0,,
2021-01-04,0,,
2021-01-05,0,,
2021-01-06,0,,
2021-01-07,0,,
2021-01-08,0,,
2021-01-09,0,,
2021-01-10,0,,
2021-01-11,0,,
2021-01-12,0,,
2021-01-13,0,,
2021-01-14,0,,
2021-01-15,0,,
2021-01-16,0,,
2021-01-17,0,,
2021-01-18,0,,
2021-01-19,0,,
2021-01-20,0,,
2021-01-21,0,,
2021-01-22,0,,
2021-01-23,0,,
2021-01-24,0,,
2021-01-25,0,,
2021-01-26,0,,
2021-01-27,0,,
2021-01-28,0,,
2021-01-29,0,,
2021-01-30,0,,
2021-01-31,0,,
2021-02-01,0,,
2021-02-02,0,,
2021-02-03,0,,
2021-02-04,0,,
2021-02-05,0,,
2021-02-06,0,,
2021-02-07,0,,
2021-02-08,0,,
2021-02-09,0,,
2021-02-10,0,,
2021-02-11,0,,
2021-02-12,0,,
2021-02-13,0,,
2021-02-14,0,,
2021-02-15,0,,
2021-02-16,0,,
2021-02-17,0,,
2021-02-18,0,,
2021-02-19,0,,
2021-02-20,0,,
2021-02-21,0,,
2021-02-22,0,,
2021-02-23,0,,
2021-02-24,0,,
2021-02-25,0,,
2021-02-26,0,,
2021-02-27,0,,
2021-02-28,0,,
2021-03-01,0,,
2021-03-02,0,,
2021-03-03,0,,
2021-03-04,0,,
2021-03-05,0,,
2021-03-06,0,,
2021-03-07,0,,
2021-03-08,0,,
2021-03-09,0,,
2021-03-10,0,,
2021-03-11,0,,
2021-03-12,0,,
2021-03-13,0,,
2021-03-14,0,,
2021-03-15,0,,
2021-03-16,0,,
2021-03-17,0,,
2021-03-18,0,,
2021-03-19,0,,
2021-03-20,0,,
2021-03-21,0,,
2021-03-22,0,,
2021-03-23,0,,
2021-03-24,0,,
2021-03-25,0,,
2021-03-26,0,,
2021-03-27,0,,
2021-03-28,0,,
2021-03-29,0,,
2021-03-30,0,,
2021-03-31,0,,
2021-04-01,0,,
2021-04-02,0,,
2021-04-03,0,,
2021-04-04,0,,
2021-04-05,0,,
2021-04-06,0,,
2021-04-07,0,,
2021-04-08,0,,
2021-04-09,0,,
2021-04-10,0,,
2021-04-11,0,,
2021-04-12,0,,
2021-04-13,0,,
2021-04-14,0,,
2021-04-15,0,,
2021-04-16,0,,
2021-04-17,0,,
2021-04-18,0,,
2021-04-19,0,,
2021-04-20,0,,
2021-04-21,0,,
2021-04-22,0,,
2021-04-23,0,,
2021-04-24,0,,
2021-04-25,0,,
2021-04-26,0,,
2021-04-27,0,,
2021-04-28,0,,
2021-04-29,0,,
2021-04-30,0,,
2021-05-01,0,,
2021-05-02,0,,
2021-05-03,0,,
2021-05-04,0,,
2021-05-05,0,,
2021-05-06,0,,
2021-05-07,0,,
2021-05-08,0,-200.0,27.419996700000006
2021-05-08,1,-200.0,27.229496700000006
2021-05-08,2,-200.0,25.290708100000003
2021-05-08,3,-200.0,25.290708100000003
2021-05-08,4,-200.0,25.435803300000003
2021-05-08,5,-200.0,25.435803300000003
2021-05-08,6,-200.0,25.375210199999998
2021-05-08,7,-200.0,25.0327115
2021-05-08,8,-200.0,25.4443026
2021-05-08,9,-200.0,25.5936235
2021-05-08,10,-200.0,25.424417299999995
2021-05-08,11,-182.70985565454015,25.512217299999993
2021-05-08,12,-131.38534731107006,27.53731729999999
2021-05-08,13,-67.99277826219088,28.274911899999996
2021-05-08,14,-14.854616431150703,28.021588400000006
